S-NO,ROLL NO,NAME,BRANCH,HOBBY-1,HOBBY-2,ADDRESS,SIBLINGS
1,25WH1A05W2,K.SRAVANI,CSE,DANCING,DANCING,NIZAMPET,YES
2,25WH1A05W3,T.AKSHARA,CSE,DANCING,SINGING,BALANAGAR,YES
3,25WH1A05W4,VEDA SRI,CSE,SINGING,READING,MOOSAPET,NO
4,25WH1A05W5,DARSHANA,CSE,READING,CHESS,KUKATPALLY,YES
5,25WH1A05W6,VARSHINI,CSE,CHESS,BADMINTION,KPHB,NO
6,25WH1A05W7,VARSHA,CSE,BADMINTION,KABADDI,MIYAPUR,NO
7,25WH1A05W8,K.NIHARIKA,ECE,DANCING,CODING,MANIKONDA,NO
8,25WH1A05W9,SREE LEELA,ECE,DANCING,DANCING,NIZAMPET,YES
9,25WH1A05X0,KAJAL,ECE,SINGING,SINGING,BALANAGAR,YES
10,25WH1A05X1,ANUSHKA,ECE,READING,READING,MOOSAPET,YES
11,25WH1A05X2, RAKULPREET,ECE,CHESS,CHESS,KUKATPALLY,NO
12,25WH1A05X3,POOJAHEGDE,ECE,BADMINTION,BADMINTION,KPHB,YES
13,25WH1A05X4,RASHMIKA,ECE,DANCING,KABADDI,MIYAPUR,YES
14,25WH1A05X5,VIJAYDEVARAKONDA,ECE,CODING,CODING,MANIKONDA,YES
15,25WH1A05X6,RAM.P,EEE,DANCING,DANCING,NIZAMPET,NO
16,25WH1A05X7,RAVITEJA,EEE,SINGING,SINGING,BALANAGAR,NO
17,25WH1A05X8,PAVAN KALYAN,EEE,READING,READING,MOOSAPET,YES
18,25WH1A05X9,MAHESH BABU,EEE,CHESS,CHESS,KUKATPALLY,YES
19,25WH1A05Y0,ALLU ARJUN,EEE,BADMINTION,BADMINTION,KPHB,YES
20,25WH1A05Y1,ALLU AYAAN,EEE,DANCING,KABADDI,MIYAPUR,NO
